Category	Mod	DevURL
XVM prebuilt configs	1 - XVM Default	=HYPERLINK("http://www.modxvm.com/en/","link")
XVM prebuilt configs	2 - Relhax developers:	
XVM prebuilt configs	--123gauss (colorblind) v2019-10-06	
XVM prebuilt configs	--dirty20067 v2019-06-15	
XVM prebuilt configs	--elektrosmoker v2019-10-04	
XVM prebuilt configs	--The Illusion v2019-07-12	
XVM prebuilt configs	--Willster419 v2019-03-25	=HYPERLINK("https://github.com/Willster419/xvmConfig","link")
XVM prebuilt configs	3 - OMC v2019-06-30	=HYPERLINK("https://relhaxmodpack.com/","link")
XVM prebuilt configs	--Enable Focus Shield Marker	
XVM prebuilt configs	--Enable Damage Images	
XVM prebuilt configs	--Enable Turret Markers	
XVM prebuilt configs	--Enable XMQP in markers	
XVM prebuilt configs	--Enable Quick Color Marker (QuickStats)	
XVM prebuilt configs	4 - Blank XVM (all disabled)	
XVM prebuilt configs	PURE - only stats/colors	
XVM prebuilt configs	Aslain v2019-06-26	=HYPERLINK("http://aslain.com/index.php?/topic/13-aslains-xvm-mod-modpack-installer-wpicture-sound-preview/","link")
XVM prebuilt configs	Bones v2019-05-17	=HYPERLINK("http://forum.worldoftanks.com/index.php?/topic/316189-","link")
XVM prebuilt configs	--players panel 1	
XVM prebuilt configs	--players panel 2	
XVM prebuilt configs	--players panel 3	
XVM prebuilt configs	--Disable all stats	
XVM prebuilt configs	Diclovit v2019-03-25	
XVM prebuilt configs	Druid v2019-05-17	=HYPERLINK("http://forum.worldoftanks.com/index.php?/topic/390563-","link")
XVM prebuilt configs	--use teQuilamaN´s slightly different markers layout	
XVM prebuilt configs	Elkano v2019-03-25	=HYPERLINK("https://www.curseforge.com/worldoftanks/wot-mods/exvmc","link")
XVM prebuilt configs	Heliomalt v2019-07-01	=HYPERLINK("http://heliomalt.blogspot.com/p/blog-page_75.html","link")
XVM prebuilt configs	J1mB0 v2019-05-11	
XVM prebuilt configs	NDO / night_dragon_on v2019-10-01	=HYPERLINK("https://bitbucket.org/AstaRom/xvm_config/downloads/","link")
XVM prebuilt configs	--colorblind version	
XVM prebuilt configs	Oldskool (ProMod) v2019-05-16	=HYPERLINK("https://www.oldskool.vip/","link")
XVM prebuilt configs	QuickyBaby v2019-10-01	
XVM prebuilt configs	Solo v2019-10-01	=HYPERLINK("http://soloviyko.com/solos-modpack/","link")
XVM config builder	Camera Settings	
XVM config builder	--disable	
XVM config builder	--enable (not compatible to PMOD zoom options)	
XVM config builder	----Zoom Options (xvm)	
XVM config builder	------scroll sensitivity (default 5)	
XVM config builder	--------4	
XVM config builder	--------5 (default)	
XVM config builder	--------6	
XVM config builder	--------7	
XVM config builder	--------8	
XVM config builder	--------9	
XVM config builder	--------10	
XVM config builder	------starting zoom (sniper mode)	
XVM config builder	--------last used zoom step	
XVM config builder	--------2x	
XVM config builder	--------4x	
XVM config builder	--------8x	
XVM config builder	--------16x	
XVM config builder	------show zoom indicator	
XVM config builder	--------disable	
XVM config builder	--------enable	
XVM config builder	------zoom steps (sniper mode)	
XVM config builder	--------2, 4, 8, 12	
XVM config builder	--------2, 4, 8, 16, 25	
XVM config builder	--------2, 4, 8, 12, 16, 20, 26, 32	
XVM config builder	--------2, 4, 8, 12, 16, 20, 26, 32, 40, 48	
XVM config builder	------Zoom Out Config (meters)	
XVM config builder	--------Arcade	
XVM config builder	----------100m	
